id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval
920,Spruce,Above Ground Level,Midrange,18,5,4,-1,2,Understable,https://www.marshallstreetdiscgolf.com/?s=spruce&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000172.webp,spruce,above-ground-level,midrange,understable,#CFFF30,#000000,182.6,22,1.7,1.2,19.1,1.5,5.5,52.75,9.77,,,,22-17,"Jan 31, 2022"
921,Spur,Lone Star Discs,Fairway Driver,17,9,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Spur&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000427.webp,spur,lone-star-discs,control-driver,overstable,#FFA5EA,#6B834B,,,,,,,,,,,,,,
922,Squall,DGA,Midrange,18,6,4,-1,1,Understable,https://www.marshallstreetdiscgolf.com/?s=squall&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0011016.webp,squall,dga,midrange,understable,#2876FF,#272727,,,,,,,,,,,,,,
923,Squid,Neptune Discs,Distance Driver,15,11,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=squid&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000451.webp,squid,neptune-discs,distance-driver,stable,#1F73E1,#F1CE42,,,,,,,,,,,,,,
924,Stabilizer,Streamline,Putter,19,3,3.5,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=stabilizer&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010111.webp,stabilizer,streamline,putter,overstable,#012219,#ACFFBA,,,,,,,,,,,,,,
925,Stag,Westside Discs,Fairway Driver,17,8,6,-1,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=stag&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3217900.webp,stag,westside-discs,control-driver,overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,
926,Stal,Kastaplast,Fairway Driver,17,9,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=stal&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3217999.webp,stal,kastaplast,control-driver,overstable,#000000,#21F1B9,,,,,,,,,,,,,,
927,Stalker,Discraft,Fairway Driver,17,7,5,-1,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=stalker&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8269708.webp,stalker,discraft,control-driver,overstable,#FF3737,#000000,179.3,21.6,1.6,1.2,18.4,1.6,5.6,32.5,8.51,,,,09-17,"Jun 17, 2009"
928,Starfire,Innova,Control Driver,16,10,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=starfire&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/9896321.webp,starfire,innova,hybrid-driver,overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,
929,Starfire L,Innova,Control Driver,16,10,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/product/pro-starfire,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5841029.webp,starfire-l,innova,hybrid-driver,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,
