"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Negative","Eternity","176.0","21.2","1.8","1.1","17.3","1.9","5.2","28.75","10.11","","","","26-58","Apr 13, 2026"
"Yeet Street Discs","Adonis","176.8","21.3","1.7","1.2","17.4","2.0","5.6","37.50","7.27","","","","26-56","Apr 13, 2026"
"Elevation Disc Golf","Uktena","176.8","21.3","1.4","1.1","17.1","2.1","5.2","28.25","4.89","","","","26-55","Apr 13, 2026"
"Doomsday Discs","Propaganda","176.0","21.2","1.7","1.1","17.3","2.0","5.2","28.75","11.93","","","","26-57","Apr 13, 2026"
"Elevation Disc Golf","Groundhog","175.1","21.1","1.7","1.3","19.3","0.9","6.2","74.00","2.50","","","","26-54","Apr 6, 2026"
"Kastaplast","Gadd","178.5","21.5","1.8","1.3","18.7","1.4","6.0","41.00","7.73","","","","26-53","Mar 30, 2026"
"Nice Discs","Mukava","175.1","21.1","1.6","1.4","18.6","1.2","6.6","41.50","6.48","","","","26-51","Mar 30, 2026"
"Dynamic Discs","Mutiny","180.9","21.8","1.9","1.2","18.9","1.4","5.5","42.25","9.20","","","","26-52","Mar 30, 2026"
"Discount Disc Golf","Same Same","180.1","21.7","2.0","1.3","18.9","1.4","6.0","47.75","7.39","","","","26-50","Mar 23, 2026"
"Above Ground Level","Juniper","180.1","21.7","1.7","1.3","18.9","1.4","6.0","39.50","8.98","","","","26-45","Mar 16, 2026"
"Negative","Void","176.0","21.2","1.8","1.2","17.3","2.0","5.7","33.50","11.59","","","","26-48","Mar 16, 2026"
"Climo Disc Golf","Coast ","178.5","21.5","1.9","1.3","18.6","1.5","6.0","46.50","11.36","","","","26-46","Mar 16, 2026"
"Climo Disc Golf","Cliff  (CDG-0326-P)","174.3","21.0","2.1","1.4","18.8","1.1","6.7","60.50","11.70","","","","26-49","Mar 16, 2026"
"Hooligan Discs","Rope (retooled)","180.9","21.8","1.8","1.2","19.0","1.4","5.5","52.75","10.57","","","","26-47","Mar 13, 2026"
"Discount Disc Golf","Dirty Dog","175.1","21.1","1.8","1.2","17.0","2.1","5.7","30.00","11.59","","","","26-40","Mar 9, 2026"
"Essential Discs","Breath","177.6","21.4","1.7","1.3","18.6","1.4","6.1","46.50","10.57","","","","26-43","Mar 9, 2026"
"Essential Discs","Conflict","176.0","21.2","1.8","1.5","19.0","1.1","7.1","67.50","9.89","","","","26-44","Mar 9, 2026"
"Disc Golf Association","Hurricane X","175.1","21.1","1.7","1.2","16.5","2.3","5.7","29.75","11.59","","","","26-41","Mar 9, 2026"
"Mint Discs","Rodeo","179.3","21.6","1.9","1.4","19.1","1.3","6.5","35.50","6.02","","","","26-42","Mar 9, 2026"
"Deuz Disc Golf","Sequence","180.1","21.7","1.5","1.2","18.5","1.6","5.5","42.00","6.59","","","","26-31","Mar 2, 2026"
"Appalachian Discs","Bluegrass","174.3","21.0","1.6","1.3","18.0","1.5","6.2","66.25","4.20","","","","26-32","Mar 2, 2026"
"RPM Discs/Disc Golf Aotearoa","Taniwha","178.5","21.5","1.7","1.2","17.9","1.8","5.6","31.00","10.57","","","","26-34","Mar 2, 2026"
"Hobby Discs","Jollyroger","180.9","21.8","1.8","1.2","19.1","1.4","5.5","33.25","9.55","","","","26-33","Mar 2, 2026"
"Latitude 64","Amber","174.3","21.0","1.7","1.1","16.9","2.1","5.2","31.00","7.95","","","","26-36","Mar 2, 2026"
"Westside Golf Discs","Giant Reborn","182.6","22.0","1.7","1.1","17.6","2.2","5.0","31.50","8.98","","","","26-37","Mar 2, 2026"
"Westside Golf Discs","Vellamo","180.9","21.8","2.0","1.3","18.9","1.5","6.0","37.50","8.41","","","","26-38","Mar 2, 2026"
"Discmania","Premier DD1","176.0","21.2","1.8","1.2","16.8","2.2","5.7","27.00","8.07","","","","26-35","Mar 2, 2026"
"MVP Disc Sports","Control","176.0","21.2","1.6","1.1","17.0","2.1","5.2","26.50","9.62","","","","26-39","Mar 2, 2026"
"Discmania","Premier Cloudbreaker","175.1","21.1","1.9","1.2","16.6","2.3","5.7","27.25","12.16","","","","26-26","Feb 23, 2026"
"Discmania","DD4","175.1","21.1","1.7","1.2","16.3","2.4","5.7","27.00","12.16","","","","26-25","Feb 23, 2026"
"Bernoulli","Hubble","174.3","21.0","1.9","1.1","16.4","2.3","5.2","26.00","12.16","","","","26-24","Feb 23, 2026"
"Discraft","Terminator (DIS-0226-D)","175.1","21.1","1.8","1.2","16.5","2.3","5.7","28.00","11.70","","","","26-28","Feb 23, 2026"
"Discraft","Ares (PM-0226-D) (renamed from Zeus 2.0)","175.1","21.1","1.8","1.1","16.5","2.3","5.2","29.75","9.32","","","","26-27","Feb 23, 2026"
"Dynamic Discs","Contender","175.1","21.1","1.8","1.1","17.2","2.0","5.2","29.25","9.89","","","","26-30","Feb 23, 2026"
"Dynamic Discs","Cavalry","175.1","21.1","1.7","1.1","17.1","2.0","5.2","29.00","8.98","","","","26-29","Feb 23, 2026"
"Yikun Discs","Freyja (弗蕾雅)","174.3","21.0","1.9","1.4","19.0","1.0","6.7","68.25","8.86","","","","26-23","Feb 16, 2026"
"Doomsday Discs","Overlord","176.0","21.2","1.5","1.1","16.6","2.3","5.2","29.00","8.41","","","","26-21","Feb 9, 2026"
"MVP Disc Sports","Stasis","176.0","21.2","1.8","1.4","19.1","1.0","6.6","70.50","9.77","","","","26-19","Feb 9, 2026"
"ProjBlk","Cloak","176.8","21.3","1.9","1.5","19.2","1.1","7.0","61.00","8.64","","","","26-20","Feb 9, 2026"
"Newb SimHouse Custom Discs","NSH18 Tetryon","180.1","21.7","1.6","1.1","18.2","1.8","5.1","29.25","5.80","","","","26-22","Feb 9, 2026"
"Discmania","Discmania Putter","176.0","21.2","1.9","1.4","19.1","1.1","6.6","61.50","11.14","","","","26-18","Feb 2, 2026"
"Discmania","Discmania Midrange","180.1","21.7","1.8","1.3","19.2","1.3","6.0","50.00","11.25","","","","26-17","Feb 2, 2026"
"Discmania","Discmania Fairway Driver","175.1","21.1","1.6","1.1","17.3","1.9","5.2","29.75","11.70","","","","26-16","Feb 2, 2026"
"Guru","Frost","175.1","21.1","1.9","1.2","19.1","1.0","5.7","62.50","8.18","","","","26-14","Jan 29, 2026"
"Guru","Fnugg","176.0","21.2","2.0","1.6","19.2","1.0","7.5","76.50","7.60","","","","26-13","Jan 29, 2026"
"Guru","Skare","177.6","21.4","1.5","1.2","17.6","1.9","5.6","32.75","8.86","","","","26-15","Jan 29, 2026"
"Flight Lab","Dot","176.0","21.2","2.0","1.5","19.2","1.0","7.1","55.50","7.05","","","","26-9","Jan 26, 2026"
"Flight Lab","Wayfinder","180.9","21.8","1.7","1.3","18.8","1.5","6.0","48.25","9.32","","","","26-10","Jan 26, 2026"
"Jester Disc Golf","Iris","176.0","21.2","2.0","1.5","19.2","1.0","7.1","69.75","6.82","","","","26-12","Jan 26, 2026"
"Jester Disc Golf","Cryptid","176.8","21.3","1.7","1.2","19.3","1.0","5.6","86.50","12.05","","","","26-11","Jan 26, 2026"
"Circus Discs","AD1","175.1","21.1","1.6","1.3","18.5","1.3","6.2","52.00","7.39","","","","26-8","Jan 26, 2026"
"Prodiscus","Legion","178.5","21.5","2.2","1.5","18.8","1.3","7.0","50.25","10.34","","","","26-5","Jan 19, 2026"
"Discraft","Sled (DIS-0126-P)","179.3","21.6","1.7","1.3","19.3","1.2","6.0","59.00","7.39","","","","26-6","Jan 19, 2026"
"Good Tree Disc Golf","Burl","178.5","21.5","1.5","1.2","18.7","1.4","5.6","38.50","9.77","","","","26-2","Jan 12, 2026"
"Good Tree Disc Golf","Burl+","178.5","21.5","1.5","1.2","18.7","1.4","5.6","35.75","10.57","","","","26-3","Jan 12, 2026"
"Good Tree Disc Golf","Burl-","178.5","21.5","1.5","1.2","18.7","1.4","5.6","42.00","8.86","","","","26-4","Jan 12, 2026"
"Kastaplast","Impa","176.8","21.3","1.7","1.1","16.9","2.2","5.2","26.25","7.27","","","","26-1","Jan 5, 2026"
"Qingdao Hippo Sport Products Co., Ltd.","Landing","175.1","21.1","1.9","1.5","19.0","1.1","7.1","73.50","11.59","","","","25-181","Dec 22, 2025"
"Prodigy Disc","H6","175.1","21.1","1.7","1.1","16.8","2.1","5.2","26.50","9.77","","","","25-176","Dec 1, 2025"
"Latitude 64","Mighty","176.0","21.2","1.7","1.1","17.6","1.8","5.2","31.25","11.82","","","","25-179","Dec 1, 2025"
"Latitude 64","Fire","179.3","21.6","1.7","1.3","18.7","1.5","6.0","45.25","12.05","","","","25-178","Dec 1, 2025"
"EV-7","Ouro Boros ","175.1","21.1","1.7","1.4","18.7","1.2","6.6","54.75","8.98","","","","25-177","Dec 1, 2025"
"Gram Discs","Milan","174.3","21.0","2.0","1.1","17.6","1.7","5.2","34.75","10.34","","","","25-175","Nov 24, 2025"
"Gram Discs","Berlin","174.3","21.0","2.0","1.1","16.8","2.1","5.2","31.50","10.59","","","","25-174","Nov 24, 2025"
"Meridian Discs","Trench ","176.0","21.2","1.7","1.3","18.6","1.3","6.1","50.50","8.07","","","","25-172","Nov 17, 2025"
"Meridian Discs","Vale","175.1","21.1","1.6","1.1","17.3","1.9","5.2","31.75","8.64","","","","25-173","Nov 17, 2025"
"Mint Discs","Pizza (renamed from Mystery Box (2025))","176.0","21.2","1.7","1.1","17.4","1.9","5.2","32.75","8.41","","","","25-171","Nov 17, 2025"
"Bernoulli","Bailey Roller","195.9","23.6","2.2","1.2","19.7","2.0","5.1","32.00","9.89","","","","25-167","Nov 10, 2025"
"Swiftflyte","Wayfinder","177.6","21.4","1.5","1.1","17.8","1.8","5.1","34.25","6.14","","","","25-170","Nov 10, 2025"
"Swiftflyte","Coastline","176.0","21.2","1.8","1.1","18.3","1.4","5.2","36.00","5.34","","","","25-168","Nov 10, 2025"
"Swiftflyte","Ground Control","175.1","21.1","1.8","1.5","18.6","1.2","7.1","57.50","7.95","","","","25-169","Nov 10, 2025"
"Gateway Disc Sports","Proto 99a","176.0","21.2","1.8","1.1","17.2","2.0","5.2","27.50","6.70","","","","25-165","Nov 3, 2025"
"Trash Panda Disc Golf","Outer Core","176.0","21.2","2.1","1.5","18.9","1.1","7.1","68.50","6.36","","","","25-166","Nov 3, 2025"
"Finish Line Discs","Input","176.8","21.3","1.8","1.5","19.2","1.0","7.0","71.50","8.30","","","","25-161","Oct 27, 2025"
"Finish Line Discs","Rev","176.8","21.3","1.9","1.4","19.2","1.1","6.6","64.25","8.64","","","","25-162","Oct 27, 2025"
"Lone Star Disc","The Rig","175.1","21.1","1.9","1.2","17.6","1.7","5.7","35.50","7.84","","","","25-163","Oct 27, 2025"
"Discraft","UltraLuna (PM-1025-P)","176.0","21.2","2.1","1.5","19.2","1.0","7.1","69.75","7.50","","","","25-164","Oct 27, 2025"
"Meridian Discs","Mojave ","175.1","21.1","1.9","1.5","19.0","1.1","7.1","67.25","9.89","","","","25-158","Oct 13, 2025"
"Discraft","Joy  (PP-1025-M)","176.8","21.3","1.9","1.3","18.8","1.2","6.1","53.50","8.65","","","","25-156","Oct 13, 2025"
"Discraft","Ace Race 2024  (DIS-1024-P)","174.3","21.0","1.5","1.5","19.0","1.0","7.1","75.25","9.77","","","","25-157","Oct 13, 2025"
"Gateway Disc Sports","Charm","176.8","21.3","1.8","1.3","19.4","1.0","6.1","73.25","7.27","","","","25-159","Oct 13, 2025"
"Gateway Disc Sports","Wand","177.6","21.4","2.2","1.6","19.6","0.9","7.5","83.75","9.09","","","","25-160","Oct 13, 2025"
"Discraft","Fossil (RW-1025-P)","174.3","21.0","1.9","1.4","18.5","1.3","6.7","65.50","12.05","","","","25-151","Oct 6, 2025"
"True Par Disc Golf","Tetelestai","174.3","21.0","2.0","1.5","19.0","1.0","7.1","83.50","6.25","","","","25-155","Oct 6, 2025"
"True Par Disc Golf","Golgotha","180.9","21.8","1.6","1.1","19.1","1.4","5.0","52.75","12.05","","","","25-153","Oct 6, 2025"
"True Par Disc Golf","Guardian Angel","179.3","21.6","1.8","1.1","17.1","2.3","5.1","30.00","11.82","","","","25-154","Oct 6, 2025"
"Discount Disc Golf","Player Two","175.1","21.1","1.8","1.4","18.9","1.1","6.6","60.75","8.64","","","","25-152","Oct 6, 2025"
"Doomsday Discs","Blight","175.1","21.1","2.0","1.5","18.9","1.1","7.1","72.50","9.77","","","","25-149","Sep 29, 2025"
"Discmania","FD2 (new)","176.0","21.2","1.8","1.1","17.6","1.8","5.2","33.75","10.11","","","","25-150","Sep 29, 2025"
"Above Ground Level","Maple","176.0","21.2","1.6","1.2","18.9","1.2","5.7","59.00","10.80","","","","25-143","Sep 22, 2025"
"Grassland Discs","Blue-Winged Teal","179.3","21.6","1.4","1.1","19.0","1.3","5.1","50.00","5.45","","","","25-145","Sep 22, 2025"
"Grassland Discs","Mallard","179.3","21.6","1.6","1.3","19.0","1.3","6.0","52.00","5.57","","","","25-146","Sep 22, 2025"
"Discraft","Hallux (RW-0925-D)","177.6","21.4","1.7","1.1","17.6","1.9","5.1","32.25","10.80","","","","25-147","Sep 22, 2025"
"Doomsday Discs","Dread","176.0","21.2","2.1","1.5","19.0","1.1","7.1","65.00","12.05","","","","25-148","Sep 22, 2025"
"Good Tree Disc Golf","Knot-","174.3","21.0","1.6","1.4","18.8","1.1","6.7","58.75","7.39","","","","25-140","Sep 15, 2025"
"Axiom Discs","Bokeh","176.0","21.2","1.7","1.1","17.6","1.8","5.2","30.25","9.77","","","","25-142","Sep 15, 2025"
"Axiom Discs","Aspect","175.1","21.1","1.5","1.1","17.0","2.0","5.2","28.75","8.30","","","","25-141","Sep 15, 2025"
"XCOM Discs","Cancer S (巨蟹座S)","176.8","21.3","1.7","1.3","19.1","1.1","6.1","61.00","8.07","","","","25-138","Sep 8, 2025"
"XCOM Discs","Pegasus X (天马座)","174.3","21.0","1.7","1.2","17.0","2.0","5.7","29.25","10.80","","","","25-139","Sep 8, 2025"
"三佥攵 (Sān Qiān Pū）","Somersault Cloud (筋斗云）","175.1","21.1","1.7","1.1","17.0","2.1","5.2","29.00","11.14","","","","25-137","Sep 1, 2025"
"Streamline Discs","Boost","176.0","21.2","1.5","1.1","17.0","2.1","5.2","28.75","11.70","","","","25-135","Sep 1, 2025"
"三佥攵 (Sān Qiān Pū）","Skyrocket (窜天猴)","175.1","21.1","1.6","1.1","17.3","1.9","5.2","26.75","10.57","","","","25-136","Sep 1, 2025"
"Mint Discs","Pickle","174.3","21.0","1.9","1.4","19.0","1.0","6.7","65.00","6.82","","","","25-131","Aug 25, 2025"
"Thought Space Athletics","Requiem","175.1","21.1","1.7","1.1","16.8","2.1","5.2","27.00","9.32","","","","25-130","Aug 25, 2025"
"Discount Disc Golf","Adrenaline Junkie","176.0","21.2","1.4","1.1","17.3","1.9","5.2","28.50","11.70","","","","25-132","Aug 25, 2025"
"Discmania","Premier FD","176.0","21.2","1.8","1.2","17.7","1.8","5.7","38.00","10.34","","","","25-128","Aug 18, 2025"
"Discmania","Premier DD3","175.1","21.1","1.8","1.2","16.6","2.3","5.7","29.75","10.80","","","","25-129","Aug 18, 2025"
"Disc Golf Association","Blast","176.8","21.3","1.7","1.2","18.9","1.2","5.6","59.25","9.89","","","","25-127","Aug 18, 2025"
"EV-7","Agera-1","174.3","21.0","1.9","1.2","18.8","1.1","5.7","53.00","7.27","","","","25-125","Aug 11, 2025"
"Forge Discs","Temper","179.3","21.6","1.5","1.1","18.1","1.8","5.1","30.50","6.70","","","","25-123","Jul 28, 2025"
"Good Tree Disc Golf","Knot","175.1","21.1","1.6","1.4","18.8","1.1","6.6","49.75","11.93","","","","25-122","Jul 28, 2025"
"Discmania","Founder","180.9","21.8","1.8","1.1","19.1","1.3","5.0","37.50","6.48","","","","25-124","Jul 28, 2025"
"Trash Panda Disc Golf","Procyon","175.1","21.1","1.6","1.2","16.6","2.2","5.7","28.00","11.59","","","","25-117","Jul 21, 2025"
"Discraft","Zone SS (DIS-0725-P)","176.0","21.2","1.6","1.2","18.7","1.2","5.7","55.50","8.75","","","","25-119","Jul 21, 2025"
"Discraft","Malita (PM-0725-M)","175.1","21.1","1.8","1.2","18.5","1.3","5.7","47.50","9.20","","","","25-118","Jul 21, 2025"
"Innova Champion Discs","Fox","180.9","21.8","1.5","1.1","18.8","1.5","5.0","48.00","8.30","","","","25-121","Jul 21, 2025"
"Innova Champion Discs","Arachnid","180.9","21.8","1.6","1.1","18.8","1.5","5.0","45.50","8.07","","","","25-120","Jul 21, 2025"
"CHING Disc Golf","JuJu","176.8","21.3","2.5","1.5","19.5","0.9","7.0","75.75","5.11","","","","25-108","Jul 14, 2025"
"CHING Disc Golf","Precision","176.8","21.3","2.4","1.5","18.7","1.3","7.0","51.00","8.75","","","","25-109","Jul 14, 2025"
"Gram Discs","Oslo","175.1","21.1","1.7","1.1","16.5","2.3","5.2","29.00","11.36","","","","25-112","Jul 14, 2025"
"Gram Discs","Vilnius","179.3","21.6","1.9","1.4","18.9","1.3","6.5","51.50","8.41","","","","25-116","Jul 14, 2025"
"Gram Discs","Prague","176.8","21.3","2.1","1.6","19.3","1.0","7.5","62.50","6.25","","","","25-113","Jul 14, 2025"
"Mint Discs","Idol","175.1","21.1","1.7","1.2","16.5","2.3","5.7","26.50","8.86","","","","25-111","Jul 14, 2025"
"Axiom Discs","Time-Lapse (retooled)","176.0","21.2","1.7","1.2","16.6","2.3","5.7","26.25","11.23","","","","25-110","Jul 14, 2025"
"Gram Discs","Riga","175.1","21.1","1.9","1.1","17.3","1.9","5.2","29.00","8.75","","","","25-115","Jul 14, 2025"
"Gram Discs","Reykjavik","175.1","21.1","1.9","1.2","17.3","1.9","5.7","27.50","11.93","","","","25-114","Jul 14, 2025"
"Gram Discs","Tallinn","176.0","21.2","1.9","1.5","19.2","1.0","7.1","60.75","7.39","","","","25-107","Jun 30, 2025"
"Gram Discs","Helsinki","179.3","21.6","1.8","1.5","19.0","1.3","6.9","51.75","7.27","","","","25-104","Jun 30, 2025"
"Gram Discs","Stockholm","175.1","21.1","1.8","1.2","17.3","1.9","5.7","32.25","11.14","","","","25-106","Jun 30, 2025"
"Gram Discs","Paris","175.1","21.1","1.7","1.1","16.9","2.1","5.2","28.75","10.11","","","","25-105","Jun 30, 2025"
"Supersonic Discs","Gravity","180.9","21.8","1.9","1.2","19.4","1.2","5.5","73.00","8.18","","","","25-98","Jun 27, 2025"
"Supersonic Discs","Stellar","180.9","21.8","1.6","1.2","17.1","2.4","5.5","35.00","12.05","","","","25-103","Jun 27, 2025"
"Supersonic Discs","Kodiak","180.9","21.8","1.7","1.4","18.4","1.7","6.4","51.75","11.36","","","","25-100","Jun 27, 2025"
"三佥攵 (Sān Qiān Pū）","Student Leader（班干部）","176.0","21.2","2.3","1.5","19.7","0.8","7.1","81.00","5.57","","","","25-97","Jun 27, 2025"
"Supersonic Discs","Lunaris","180.9","21.8","1.7","1.2","17.1","2.4","5.5","34.50","10.80","","","","25-101","Jun 27, 2025"
"Supersonic Discs","IFO","180.8","21.8","2.0","1.4","18.3","1.8","6.4","38.50","11.59","","","","25-99","Jun 27, 2025"
"Supersonic Discs","Parked","181.8","21.9","1.9","1.5","19.0","1.5","6.8","57.75","8.98","","","","25-102","Jun 27, 2025"
"Stokely Discs","Pigeon","176.8","21.3","1.9","1.1","18.6","1.3","5.2","43.25","4.20","","","","25-93","Jun 23, 2025"
"Kastaplast","Sten","175.1","21.1","1.8","1.3","19.4","0.9","6.2","83.75","7.27","","","","25-94","Jun 23, 2025"
"Wulfram","Devour","176.0","21.2","1.5","1.2","16.5","2.3","5.7","29.75","11.02","","","","25-96","Jun 23, 2025"
"Climo Disc Golf","Streak","179.3","21.6","1.9","1.2","18.2","1.7","5.6","37.00","9.20","","","","25-95","Jun 23, 2025"
"Doomsday Discs","Oblivion","176.0","21.2","1.4","1.1","16.7","2.2","5.2","26.25","11.25","","","","25-88","Jun 9, 2025"
"Flight Lab","Vapor","176.0","21.2","1.4","1.1","16.7","2.2","5.2","31.00","11.36","","","","25-89","Jun 9, 2025"
"Andromeda M31 Discs","Andromeda M31 Driver (renamed from Event Horizon)","179.3","21.6","1.4","1.1","17.9","1.8","5.1","34.75","4.80","","","","25-92","Jun 9, 2025"
"Newb SimHouse Custom Discs","NSH17 Pathway","176.8","21.3","1.6","1.1","17.9","1.7","5.2","31.00","5.91","","","","25-90","Jun 9, 2025"
"Infinite Discs","Artifact","176.0","21.2","2.1","1.5","19.2","1.0","7.1","72.50","6.70","","","","25-86","Jun 2, 2025"
"Disc 4 Fun","Whisper","180.1","21.7","1.7","1.2","19.4","1.1","5.5","46.25","5.80","","","","25-87","Jun 2, 2025"
"Momentum Discs AB","Steam","178.5","21.5","1.7","1.3","19.0","1.3","6.0","46.00","10.11","","","","25-85","Jun 2, 2025"
"Dolphin Papa","DolphinPapaDisc","194.2","23.4","2.9","1.8","22.0","0.7","7.7","91.50","4.77","","","","25-78","May 26, 2025"
"H13 Disc Golf","Wanderlust (retooled)","176.0","21.2","1.4","1.1","16.8","2.2","5.2","27.25","10.11","","","","25-79","May 26, 2025"
"Elevation Disc Golf","Capybara","180.9","21.8","1.6","1.3","19.2","1.3","6.0","50.25","2.05","","","","25-82","May 26, 2025"
"Yikun Discs","Erlang (杨戬, Yáng Jiǎn)","177.6","21.4","1.5","1.1","17.5","1.9","5.1","28.50","12.05","","","","25-80","May 26, 2025"
"Yikun Discs","Ancestor (子牙, Zǐ Yá)","176.8","21.3","1.8","1.1","16.6","2.3","5.2","27.75","12.16","","","","25-81","May 26, 2025"
"Pie Pan Discs","Grunt (retooled)","176.0","21.2","1.7","1.1","17.3","2.0","5.2","32.25","8.52","","","","25-77","May 19, 2025"
"Streamline Discs","Turbulence","176.0","21.2","1.5","1.1","17.5","1.9","5.2","31.25","10.11","","","","25-76","May 19, 2025"
"Dynamic Discs","Motive","174.3","21.0","1.7","1.1","17.3","1.8","5.2","29.00","6.59","","","","25-74","May 12, 2025"
"Thought Space Athletics","Vessel","176.8","21.3","1.7","1.2","18.9","1.2","5.6","60.75","8.75","","","","25-75","May 12, 2025"
"Above Ground Level","Sequoia","176.0","21.2","1.6","1.1","16.4","2.4","5.2","27.25","9.09","","","","25-69","Apr 28, 2025"
"Above Ground Level","Elm","176.0","21.2","1.5","1.1","17.3","1.9","5.2","31.25","11.14","","","","25-67","Apr 28, 2025"
"Above Ground Level","Koa","176.0","21.2","2.0","1.4","19.1","1.0","6.6","70.00","3.86","","","","25-68","Apr 28, 2025"
"XCOM Discs","Serpens（巨蛇座）","175.1","21.1","1.7","1.1","17.1","2.0","5.2","29.50","9.66","","","","25-71","Apr 28, 2025"
"Discmania","MD3x","180.1","21.7","1.8","1.3","19.0","1.3","6.0","33.75","12.16","","","","25-70","Apr 28, 2025"
"Independent Discs Sweden AB","Sense (Wibe variant)","174.3","21.0","1.8","1.3","18.8","1.1","6.2","58.75","12.05","","","","25-72","Apr 28, 2025"
"Dynamic Discs","Heist","175.1","21.1","1.7","1.1","16.7","2.2","5.2","28.75","9.89","","","","25-63","Apr 21, 2025"
"Gateway Disc Sports","Witch Doctor","176.0","21.2","1.9","1.5","18.8","1.2","7.1","67.75","5.45","","","","25-64","Apr 21, 2025"
"Delta Mold LLC","Yellow Disc","181.8","21.9","1.9","1.3","19.2","1.3","5.9","50.25","8.98","","","","25-65","Apr 21, 2025"
"Shaman Disc Golf","Fuego","175.1","21.1","2.3","1.4","18.9","1.1","6.6","65.00","5.11","","","","25-66","Apr 21, 2025"
"Tefat","M 4.1","176.8","21.3","1.6","1.1","16.5","2.4","5.2","26.50","10.34","","","","25-61","Apr 14, 2025"
"Negative","Reign","179.3","21.6","1.6","1.2","18.6","1.5","5.6","40.25","9.77","","","","25-62","Apr 14, 2025"
"Eurodisc","Beyond","176.8","21.3","1.5","1.1","16.7","2.3","5.2","29.75","11.36","","","","25-54","Apr 7, 2025"
"Eurodisc","Strategy","175.1","21.1","1.6","1.1","17.0","2.1","5.2","26.75","11.14","","","","25-55","Apr 7, 2025"
"Discmania","DD2 (2025)","175.1","21.1","1.7","1.1","16.6","2.2","5.2","27.75","9.20","","","","25-58","Apr 7, 2025"
"Discraft","Roost (renamed from RW-0325-P (Ricky Wysocki Proto Putter))","175.1","21.1","2.2","1.5","19.1","1.0","7.1","72.75","7.05","","","","25-57","Apr 7, 2025"
"Climo Disc Golf","Osprey","175.1","21.1","1.6","1.1","16.8","2.1","5.2","28.75","11.48","","","","25-56","Apr 7, 2025"
"Native Discs","EcoReboot Trickster (Chukfi)","175.1","21.1","2.2","1.4","19.1","1.0","6.6","72.50","8.41","","","","25-52","Mar 31, 2025"
"Native Discs","EcoChar Thunder (Heloha)","179.3","21.6","1.6","1.2","18.9","1.3","5.6","41.50","9.55","","","","25-50","Mar 31, 2025"
"Native Discs","EcoChar Tornado (Mahli Chito)","176.0","21.2","1.9","1.1","17.2","2.0","5.2","28.50","11.14","","","","25-51","Mar 31, 2025"
"Tefat","M 4.0","176.8","21.3","1.8","1.1","16.6","2.3","5.2","26.25","10.80","","","","25-53","Mar 31, 2025"
"Sci-Fly Discs","sPUTTnik","180.1","21.7","1.8","1.4","19.9","0.9","6.5","72.50","4.66","","","","25-47","Mar 24, 2025"
"Doomsday Discs","Monstrosity","176.0","21.2","1.6","1.1","16.6","2.3","5.2","27.00","12.16","","","","25-48","Mar 24, 2025"
"Discmania","P4","177.6","21.4","1.8","1.4","19.0","1.2","6.5","53.00","11.02","","","","25-49","Mar 24, 2025"
"Jester Disc Golf","Crazy Hawk (Ukko)","176.0","21.2","1.7","1.1","17.2","2.0","5.2","30.25","10.80","","","","25-46","Mar 20, 2025"
"Discape Disc Golf Inc.","Rootheon","175.1","21.1","2.0","1.3","19.4","0.9","6.2","74.00","10.23","","","","25-45","Mar 20, 2025"
"Discape Disc Golf Inc.","DarkMight","176.8","21.3","1.7","1.2","19.3","1.0","5.6","74.00","9.89","","","","25-43","Mar 20, 2025"
"Discape Disc Golf Inc.","Glacioris","176.8","21.3","2.1","1.5","19.1","1.1","7.0","66.50","10.57","","","","25-44","Mar 20, 2025"
"Discape Disc Golf Inc.","Bolderbane","175.1","21.1","1.9","1.4","18.8","1.1","6.6","61.25","9.66","","","","25-42","Mar 20, 2025"
"Dynamic Discs","Treason","175.1","21.1","1.8","1.1","17.0","2.1","5.2","30.50","8.30","","","","25-38","Mar 17, 2025"
"Prodigy Disc","Pivot","175.1","21.1","2.1","1.3","19.0","1.1","6.2","61.25","8.98","","","","25-37","Mar 17, 2025"
"Disc Monkey","DMD1","176.8","21.3","2.2","1.1","17.8","1.7","5.2","34.00","8.64","","","","25-40","Mar 17, 2025"
"Disc Monkey","DMM1","179.3","21.6","1.8","1.2","18.8","1.4","5.6","46.25","7.27","","","","25-41","Mar 17, 2025"
"Westside Golf Discs","Tide","175.1","21.1","1.8","1.2","16.7","2.2","5.7","32.25","11.25","","","","25-39","Mar 17, 2025"
"XCOM Discs","Scorpio X (天蝎座)","174.3","21.0","1.8","1.1","16.4","2.3","5.2","28.50","11.02","","","","25-35","Mar 10, 2025"
"Andromeda M31 Discs","Andromeda M31 Putter (renamed from Singularity)","175.1","21.1","1.6","1.2","19.3","0.9","5.7","63.75","5.11","","","","25-34","Mar 10, 2025"
"Trash Panda Disc Golf","Canyon (retooled)","176.8","21.3","1.6","1.3","19.0","1.1","6.1","53.00","4.55","","","","25-36","Mar 10, 2025"
"Thought Space Athletics","Persona","177.6","21.4","1.7","1.1","18.0","1.7","5.1","34.25","7.73","","","","25-31","Mar 3, 2025"
