id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval,pdga_match_tier,pdga_match_confidence,pdga_disc_model,pdga_manufacturer,pdga_approved_date,pdga_certification_number,pdga_class,pdga_diameter_cm,pdga_height_cm,pdga_rim_depth_cm,pdga_inside_rim_diameter_cm,pdga_rim_thickness_cm,pdga_rim_depth_diameter_ratio_pct,pdga_max_weight_gr,pdga_max_weight_vint_gr,pdga_flexibility_kg,pdga_rim_configuration,pdga_last_year_production,pdga_brand_suggested,pdga_brand_differs_from_merged
0,1 Driver,Lightning,Fairway Driver,17,6,4,-2,2,Understable,https://www.marshallstreetdiscgolf.com/product/1-driver,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8994436.webp,1-driver,lightning,control-driver,understable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
1,1 Flyer,Lightning,Fairway Driver,17,8,5,-2,2,Stable,https://www.marshallstreetdiscgolf.com/product/1-flyer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6680415.webp,1-flyer,lightning,control-driver,stable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Flyer,Lightning Discs,"Feb 2, 1995",95-15,,21.4,1.5,1.1,18.2,1.6,5.1,177.6,,9.75,27.75,,Lightning Discs,yes
2,1 Helix,Lightning,Fairway Driver,17,8,4,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-helix,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-helix,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Helix,Lightning Discs,"Mar 3, 1996",96-02,,21.5,1.6,1.3,18.3,1.6,6.0,178.5,,10.87,31.25,,Lightning Discs,yes
3,1 Hookshot,Lightning,Fairway Driver,17,6,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hookshot,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2141916.webp,1-hookshot,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Hookshot,Lightning Discs,"Mar 21, 1995",93-11,,22.2,1.7,1.5,19.2,1.5,6.8,184.3,,7.70,32.50,,Lightning Discs,yes
4,1 Hyzer,Lightning,Fairway Driver,17,7,3,0,4,Overstable,https://www.marshallstreetdiscgolf.com/product/1-hyzer,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2215228.webp,1-hyzer,lightning,control-driver,overstable,#FFFF60,#BEBDA2,,,,,,,,,,,,,,,B_name_unique,medium,#1 Hyzer,Lightning Discs,"Jul 6, 1995",95-03,,21.7,1.8,1.3,18.1,1.8,6.0,180.1,,10.66,29.25,,Lightning Discs,yes
5,Great Horned Owl,Daredevil Discs,Putter,19,2,3,0,1,Stable,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3952594.webp,great-horned-owl,daredevil-discs,putter,stable,#FFFFFF,#515151,,,,,,,,,,,,,,,A_name_brand,high,Great Horned Owl,Daredevil Discs,"Apr 21, 2016",16-34,,21.2,2.2,1.4,19.2,1.0,6.6,176.0,,7.14,62.25,,Daredevil Discs,no
6,Tilt,Discmania,Fairway Driver,17,9,1,1,6,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=tilt&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000252.webp,tilt,discmania,control-driver,very-overstable,#FFA813,#9A0C0C,,,,,,,,,,,,,,,A_name_brand,high,Tilt,Discmania,"Dec 26, 2020",20-102,,21.1,1.6,1.2,17.1,2.0,5.7,175.1,,12.05,29.25,,Discmania,no
7,A1,Prodigy,Approach Discs,20,4,2,0,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A1%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081443.webp,a1,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A1,Prodigy Disc,"Nov 16, 2015",15-68,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.62,41.75,,Prodigy Disc,no
8,A2,Prodigy,Approach Discs,20,4,2,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A2%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081441.webp,a2,prodigy,approach-discs,very-overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A2,Prodigy Disc,"Dec 15, 2015",15-69,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.50,41.75,,Prodigy Disc,no
9,A3,Prodigy,Approach Discs,20,4,3,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=%22A3%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8081442.webp,a3,prodigy,approach-discs,overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A3,Prodigy Disc,"Dec 15, 2015",15-70,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,8.39,50.25,,Prodigy Disc,no
10,A4,Prodigy,Approach Discs,20,4,3,-1,3,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A4%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8080444.webp,a4,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A4,Prodigy Disc,"May 10, 2016",16-43,,21.0,2.0,1.3,18.2,1.4,6.2,174.3,,9.64,61.75,,Prodigy Disc,no
11,A5,Prodigy,Approach Discs,20,4,3,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=%22A5%22&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000216.webp,a5,prodigy,approach-discs,stable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,A5,Prodigy Disc,"Dec 27, 2021",21-159,,21.3,1.9,1.4,19.0,1.2,6.6,176.8,,7.84,54.75,,Prodigy Disc,no
12,APX,Discraft,Putter,19,2,2,-1,1,Stable,https://www.marshallstreetdiscgolf.com/?s=apx&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/8913305.webp,apx,discraft,putter,stable,#FF3737,#000000,174.3,21,2.3,1.4,19.2,0.9,6.7,49.25,7.03,,,,99-01,"Jan 29, 1999",A_name_brand,high,APX,Discraft,"Jan 29, 1999",99-01,,21.0,2.3,1.4,19.2,0.9,6.7,174.3,,7.03,49.25,,Discraft,no
13,Abyss,Storm,Fairway Driver,17,8,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Abyss&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000178.webp,abyss,storm,control-driver,overstable,#FFF417,#7010B9,,,,,,,,,,,,,,,B_name_unique,medium,Abyss,Storm Disc Golf,"Apr 3, 2019",19-35,,21.1,1.6,1.1,17.1,2.0,5.2,175.1,,11.82,31.75,,Storm Disc Golf,yes
14,Addax,Wild Discs,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/product/landslide-addax-1st-run,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000067.webp,addax,wild-discs,midrange,overstable,#D267A0,#373C0D,180.1,21.7,1.7,1.3,18.7,1.5,6,39.25,11.7,,,,20-100,"Dec 26, 2020",A_name_brand,high,Addax,Wild Discs,"Dec 26, 2020",20-100,,21.7,1.7,1.3,18.7,1.5,6.0,180.1,,11.70,39.25,,Wild Discs,no
15,Addax Reborn,Wild Discs,Midrange,18,5,5,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Addax+Reborn&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000277.webp,addax-reborn,wild-discs,midrange,stable,#D267A0,#373C0D,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
16,Adder,Westside Discs,Distance Driver,15,13,5,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Addler&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000454.webp,adder,westside-discs,distance-driver,very-overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
17,Aero,Innova,Midrange,18,3,6,0,0,Understable,https://www.marshallstreetdiscgolf.com/?s=aero&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2470092.webp,aero,innova,midrange,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Aero,Innova Champion Discs,"Jun 1, 1983",83-03,,21.7,2.5,1.3,19.6,1.0,6.0,180.1,,8.16,43.75,,Innova Champion Discs,no
18,Aftermath,Legacy,Distance Driver,15,13,5,-2,3,Stable,https://www.marshallstreetdiscgolf.com/?s=aftermath&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1984394.webp,aftermath,legacy,distance-driver,stable,#3831F0,#E43DD9,,,,,,,,,,,,,,,B_name_unique,medium,Aftermath,Legacy Discs,"Jun 26, 2017",17-80,,21.2,1.7,1.1,16.3,2.5,5.2,176.0,,9.19,29.00,,Legacy Discs,yes
19,Aftershock,DGA,Midrange,18,5,4,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=aftershock&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1994394.webp,aftershock,dga,midrange,stable,#2876FF,#272727,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
20,Agent,Dynamic Discs,Putter,19,2,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=agent&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000157.webp,agent,dynamic-discs,putter,stable,#FFFFFF,#0082F4,176,21.2,2.1,1.4,19,1.1,6.6,60.75,12.13,,,,22-34,"Mar 7, 2022",A_name_brand,high,Agent,Dynamic Discs,"Mar 7, 2022",22-34,,21.2,2.1,1.4,19.0,1.1,6.6,176.0,,12.13,60.75,,Dynamic Discs,no
21,Agera,EV-7,Putter,19,2,5,-2,1,Understable,,,agera,ev-7,putter,understable,#FFFFFF,#111397,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
22,Ahti,Westside Discs,Fairway Driver,17,9,3,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=ahti&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1205500.webp,ahti,westside-discs,control-driver,very-overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,,B_name_unique,medium,Ahti,Westside Golf Discs,"Mar 23, 2017",17-34,,21.2,1.7,1.1,17.2,2.0,5.2,176.0,,9.98,28.75,,Westside Golf Discs,yes
23,Air Strike,Gateway,Fairway Driver,17,9,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=air+strike&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0125500.webp,air-strike,gateway,control-driver,stable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,B_name_unique,medium,Air Strike,Arsenal Discs,"Jul 13, 2017",17-84,,21.0,1.5,1.2,16.3,2.3,5.7,174.3,,7.03,26.25,,Arsenal Discs,yes
24,Albatross,Daredevil Discs,Distance Driver,15,14,6,-2,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=albatross&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0529007.webp,albatross,daredevil-discs,distance-driver,overstable,#FFFFFF,#515151,174.3,21,1.6,1.1,16.4,2.3,5.2,26.5,8.39,,,,17-43,"Apr 3, 2017",A_name_brand,high,Albatross,Daredevil Discs,"Apr 3, 2017",17-43,,21.0,1.6,1.1,16.4,2.3,5.2,174.3,,8.39,26.50,,Daredevil Discs,no
25,Alien,Innova,Midrange,18,4,2,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alien&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000365.webp,alien,innova,midrange,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Alien,Innova Champion Discs,"Dec 12, 2022",22-228,,21.5,2.5,1.5,20.3,0.6,7.0,178.5,,3.30,82.00,,Innova Champion Discs,no
26,Allosaurus,Dino Discs,Distance Driver,15,12,5,-3,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=allosaurus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000530.webp,allosaurus,dino-discs,distance-driver,very-understable,#740A0A,#FF6FCF,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
27,Alpaca,Infinite Discs,Putter,19,3,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alpaca&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000079.webp,alpaca,infinite-discs,putter,stable,#FFFFFF,#62054C,175.1,21.1,2,1.5,19,1,7.1,63.75,8.52,,,,20-86,"Nov 16, 2020",A_name_brand,high,Alpaca,Infinite Discs,"Nov 16, 2020",20-86,,21.1,2.0,1.5,19.0,1.0,7.1,175.1,,8.52,63.75,,Infinite Discs,no
28,Alpas,Divergent,Putter,19,3,3,-2,2,Understable,https://www.marshallstreetdiscgolf.com/?s=alpas&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000131.webp,alpas,divergent,putter,understable,#151FFF,#D8FFD9,,,,,,,,,,,,,,,B_name_unique,medium,Alpas,Divergent Discs,"May 3, 2021",21-56,,21.0,1.9,1.2,18.6,1.2,5.7,174.3,,1.14,53.00,,Divergent Discs,yes
29,Alpha,Mint Discs,Fairway Driver,17,8,4,0,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Alpha&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4193239.webp,alpha,mint-discs,control-driver,stable,#FFFFFF,#F4933E,175.1,21.1,2.1,1.2,17.1,2,5.7,30.5,8.39,,,,17-13,"Jan 28, 2017",A_name_brand,high,Alpha,Mint Discs,"Jan 28, 2017",17-13,,21.1,2.1,1.2,17.1,2.0,5.7,175.1,,8.39,30.50,,Mint Discs,no
30,Alter,Thought Space Athletics,Putter,19,3,3,0,1,Stable,https://www.marshallstreetdiscgolf.com/?s=Alter&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000257.webp,alter,thought-space-athletics,putter,stable,#000000,#FF770E,176,21.2,2,1.5,19,1.1,7.1,61.5,5.34,,,,22-126,"Jul 11, 2022",A_name_brand,high,Alter,Thought Space Athletics,"Jul 11, 2022",22-126,,21.2,2.0,1.5,19.0,1.1,7.1,176.0,,5.34,61.50,,Thought Space Athletics,no
31,Alva,Kastaplast,Distance Driver,15,11,6,-2,2,Understable,https://www.marshallstreetdiscgolf.com/?s=k1+alva&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000440.webp,alva,kastaplast,distance-driver,understable,#000000,#21F1B9,,,,,,,,,,,,,,,A_name_brand,high,Älva,Kastaplast,"Feb 19, 2024",24-32,,21.1,1.7,1.1,16.7,2.2,5.2,175.1,,12.05,32.75,,Kastaplast,no
32,Amphibian,Gateway,Control Driver,16,10,6,-4,2,Understable,https://www.marshallstreetdiscgolf.com/?s=amphibian&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000000.webp,amphibian,gateway,hybrid-driver,understable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,A_name_brand,high,Amphibian,Gateway Disc Sports,"Feb 20, 2023",23-48,,21.1,1.9,1.2,17.1,2.0,5.7,175.1,,8.18,29.50,,Gateway Disc Sports,no
33,Amulet,Prodiscus,Midrange,18,5,4,1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=amulet&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000409.webp,amulet,prodiscus,midrange,overstable,#32E65C,#5435A9,179.3,21.6,1.8,1.5,18.8,1.4,6.9,47.5,7.16,,,,23-168,"Jun 26, 2023",A_name_brand,high,Amulet,Prodiscus,"Jun 26, 2023",23-168,,21.6,1.8,1.5,18.8,1.4,6.9,179.3,,7.16,47.50,,Prodiscus,no
34,Anax,Discraft,Control Driver,16,10,6,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=anax&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000012.webp,anax,discraft,hybrid-driver,overstable,#FF3737,#000000,177.6,21.4,1.7,1.2,17.5,1.9,5.6,29.75,10.45,,,,19-50,"Jun 19, 2019",A_name_brand,high,Anax,Discraft,"Jun 19, 2019",19-50,,21.4,1.7,1.2,17.5,1.9,5.6,177.6,,10.45,29.75,,Discraft,no
35,Anchor,Latitude 64,Midrange,18,5,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=anchor&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4139229.webp,anchor,latitude-64,midrange,overstable,#FFFFFF,#F40909,180.1,21.7,1.8,1.5,18.9,1.4,6.9,43.25,10.32,,,,16-75,"Dec 7, 2016",A_name_brand,high,Anchor,Latitude 64,"Dec 7, 2016",16-75,,21.7,1.8,1.5,18.9,1.4,6.9,180.1,,10.32,43.25,,Latitude 64,no
36,Andro C,Other,Fairway Driver,17,6,4,-1,2,Stable,https://www.marshallstreetdiscgolf.com/product/hydro-m-andro-c-first-run,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4193233.webp,andro-c,other,control-driver,stable,#000000,#E5FFAA,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
37,Andro C (Retooled),Other,Fairway Driver,17,6,4,-2,1,Understable,https://www.marshallstreetdiscgolf.com/product/thermo-f-andro-c-retooled,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4193234.webp,andro-c-retooled,other,control-driver,understable,#000000,#E5FFAA,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
38,Angler,Wild Discs,Midrange,18,4,3,0,3,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=Angler&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000164.webp,angler,wild-discs,midrange,very-overstable,#D267A0,#373C0D,178.5,21.5,2,1.4,18.5,1.5,6.5,44,9.89,,,,21-145,"Dec 13, 2021",A_name_brand,high,Angler,Wild Discs,"Dec 13, 2021",21-145,,21.5,2.0,1.4,18.5,1.5,6.5,178.5,,9.89,44.00,,Wild Discs,no
39,Animal,Innova,Approach Discs,20,2,1,0,1,Overstable,https://www.marshallstreetdiscgolf.com/?s=animal&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000506.webp,animal,innova,approach-discs,overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Animal,Innova Champion Discs,"Sep 29, 2020",20-80,,21.2,2.1,1.3,19.2,1.0,6.1,176.0,,9.66,64.00,,Innova Champion Discs,no
40,Animus,Thought Space Athletics,Control Driver,16,11,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=animus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000043.webp,animus,thought-space-athletics,hybrid-driver,overstable,#000000,#FF770E,176,21.2,1.6,1.2,17,2.1,5.7,30,11.82,,,,20-50,"Jun 23, 2020",A_name_brand,high,Animus,Thought Space Athletics,"Jun 23, 2020",20-50,,21.2,1.6,1.2,17.0,2.1,5.7,176.0,,11.82,30.00,,Thought Space Athletics,no
41,Anubis,Infinite Discs,Midrange,18,5,5,0,0,Stable,https://www.marshallstreetdiscgolf.com/?s=anubis&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000055.webp,anubis,infinite-discs,midrange,stable,#FFFFFF,#62054C,180.9,21.8,2.1,1.3,18.7,1.4,6,50,9.19,,,,18-51,"Jun 21, 2018",A_name_brand,high,Anubis,Infinite Discs,"Jun 21, 2018",18-51,,21.8,2.1,1.3,18.7,1.4,6.0,180.9,,9.19,50.00,,Infinite Discs,no
42,Anvil,Westside Discs,Midrange,18,4,2,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=anvil&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1312199.webp,anvil,westside-discs,midrange,very-overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,,B_name_unique,medium,Anvil,Westside Golf Discs,"Feb 8, 2018",18-18,,21.3,1.8,1.2,18.3,1.5,5.6,176.8,,11.57,41.75,,Westside Golf Discs,yes
43,Apache (OOP),Gateway,Fairway Driver,17,9,4,-1,2,Understable,https://www.marshallstreetdiscgolf.com/?s=apache&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5101462.webp,apache-oop,gateway,control-driver,understable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,A_name_brand,high,Apache,Gateway Disc Sports,"Oct 20, 1999",99-10,,21.0,2.0,1.2,17.6,1.7,5.7,174.3,,10.21,27.50,,Gateway Disc Sports,no
44,Apache (retooled),Gateway,Control Driver,16,10,6,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Apache&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000373.webp,apache-retooled,gateway,hybrid-driver,overstable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,A_name_brand,high,Apache,Gateway Disc Sports,"Oct 20, 1999",99-10,,21.0,2.0,1.2,17.6,1.7,5.7,174.3,,10.21,27.50,,Gateway Disc Sports,no
45,Ape,Innova,Distance Driver,15,13,5,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=ape&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0522872.webp,ape,innova,distance-driver,very-overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Ape,Innova Champion Discs,"Feb 18, 2011",11-04,,21.1,1.5,1.2,16.2,2.4,5.7,175.1,,12.13,27.75,,Innova Champion Discs,no
46,Apex,Gateway,Distance Driver,15,12,6,-1,2,Understable,https://www.marshallstreetdiscgolf.com/?s=apex&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0577872.webp,apex,gateway,distance-driver,understable,#FFFFFF,#A66A17,,,,,,,,,,,,,,,A_name_brand,high,Apex,Gateway Disc Sports,"Jun 21, 2018",18-49,,21.5,1.9,1.1,17.1,2.3,5.1,178.5,,9.75,30.25,,Gateway Disc Sports,no
47,Apogee,Climo Disc Golf,Distance Driver,15,12,5,-2,1,Understable,,,apogee,climo-disc-golf,distance-driver,understable,#FFFFFF,#071139,,,,,,,,,,,,,,,unmatched,none,,,,,,,,,,,,,,,,,,
48,Apollo,Other,Midrange,18,5,5,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=Apollo&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000110.webp,apollo,other,midrange,stable,#000000,#E5FFAA,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
49,Aquarius,Millennium,Fairway Driver,17,8,5,-3,2,Very Understable,https://www.marshallstreetdiscgolf.com/?s=aquarius&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/7318361.webp,aquarius,millennium,control-driver,very-understable,#000000,#FF0974,,,,,,,,,,,,,,,B_name_unique,medium,Aquarius,Millennium Golf Discs,"Feb 2, 2016",16-09,,21.0,1.9,1.2,17.0,2.0,5.7,174.3,,10.66,30.00,,Millennium Golf Discs,yes
50,Arch,Vibram,Fairway Driver,17,8,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=x-link+arch&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/7318362.webp,arch,vibram,control-driver,overstable,#FFDC2D,#9A7D2C,,,,,,,,,,,,,,,B_name_unique,medium,Arch,Vibram Disc Golf,"Apr 20, 2015",15-43,,21.0,1.9,1.1,17.4,1.8,5.2,174.3,,6.35,34.00,,Vibram Disc Golf,yes
51,Archangel,Innova,Fairway Driver,17,8,6,-4,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=archangel&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2997242.webp,archangel,innova,control-driver,very-understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Archangel,Innova Champion Discs,"Aug 21, 2001",01-06,,21.1,1.9,1.4,17.3,1.8,7.1,175.1,,9.19,31.25,,Innova Champion Discs,no
52,Archer,Discraft,Midrange,18,5,4,-4,1,Very Understable,https://www.marshallstreetdiscgolf.com/?s=archer&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/7381363.webp,archer,discraft,midrange,very-understable,#FF3737,#000000,178.5,21.5,1.8,1.1,18.5,1.5,5.1,36,7.94,,,,16-78,"Dec 7, 2016",A_name_brand,high,Archer,Discraft,"Dec 7, 2016",16-78,,21.5,1.8,1.1,18.5,1.5,5.1,178.5,,7.94,36.00,,Discraft,no
53,Archive,Prodigy,Midrange,18,5,5,0,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=Archive&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000360.webp,archive,prodigy,midrange,overstable,#000000,#10A259,,,,,,,,,,,,,,,A_name_brand,high,Archive,Prodigy Disc,"Jul 17, 2023",22-183,,21.8,2.0,1.3,19.0,1.4,6.0,180.9,,7.95,56.25,,Prodigy Disc,no
54,Archon,Innova,Control Driver,16,11,5,-2,2,Stable,https://www.marshallstreetdiscgolf.com/?s=archon&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/7318363.webp,archon,innova,hybrid-driver,stable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Archon,Innova Champion Discs,"Mar 9, 2011",11-11,,21.1,1.7,1.2,16.6,2.3,5.7,175.1,,11.45,28.25,,Innova Champion Discs,no
55,Area 51,Doomsday Discs,Approach Discs,20,4,3,0,2.5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=area+51&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000517.webp,area-51,doomsday-discs,approach-discs,very-overstable,#B6FF8B,#144E48,175.1,21.1,1.5,1.2,18.7,1.2,5.7,53,7.27,,,,23-202,"Aug 7, 2023",A_name_brand,high,Area 51,Doomsday Discs,"Aug 7, 2023",23-202,,21.1,1.5,1.2,18.7,1.2,5.7,175.1,,7.27,53.00,,Doomsday Discs,no
56,Aries,Millennium,Control Driver,16,11,6,-4,2,Understable,https://www.marshallstreetdiscgolf.com/?s=aries&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2014205.webp,aries,millennium,hybrid-driver,understable,#000000,#FF0974,,,,,,,,,,,,,,,B_name_unique,medium,Aries,Millennium Golf Discs,"Jan 6, 2014",14-01,,21.1,1.6,1.1,16.9,2.1,5.2,175.1,,10.89,28.00,,Millennium Golf Discs,yes
