id,name,brand,category,category id,speed,glide,turn,fade,stability,link,pic,name_slug,brand_slug,category_slug,stability_slug,color,background_color,jr_maxweight,jr_diameter,jr_height,jr_rimdepth,jr_rimwidth,Rim Thickness (cm),Rim Depth / Diameter Ratio (%),Rim Configuration,Flexibility (kg),Class,Max Weight Vint (gr),Last Year Production,Certification Number,jr_pdgaapproval,pdga_match_tier,pdga_match_confidence,pdga_disc_model,pdga_manufacturer,pdga_approved_date,pdga_certification_number,pdga_class,pdga_diameter_cm,pdga_height_cm,pdga_rim_depth_cm,pdga_inside_rim_diameter_cm,pdga_rim_thickness_cm,pdga_rim_depth_diameter_ratio_pct,pdga_max_weight_gr,pdga_max_weight_vint_gr,pdga_flexibility_kg,pdga_rim_configuration,pdga_last_year_production,pdga_brand_suggested,pdga_brand_differs_from_merged
335,Felon,Dynamic Discs,Fairway Driver,17,9,3,0.5,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=felon&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3763431.webp,felon,dynamic-discs,control-driver,very-overstable,#FFFFFF,#0082F4,176,21.2,1.8,1.1,17.2,2,5.2,31.5,9.3,,,,14-56,"Jul 14, 2014",A_name_brand,high,Felon,Dynamic Discs,"Jul 14, 2014",14-56,,21.2,1.8,1.1,17.2,2.0,5.2,176.0,,9.30,31.50,,Dynamic Discs,no
336,Fenrir,Viking,Control Driver,16,10,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=Fenrir&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000000.webp,fenrir,viking,hybrid-driver,overstable,#000000,#04F40C,,,,,,,,,,,,,,,B_name_unique,medium,Fenrir,Viking Discs (IP-Agency Finland Oy),"Sep 29, 2020",20-75,,21.3,1.8,1.1,17.3,2.0,5.2,176.8,,10.68,29.75,,Viking Discs (IP-Agency Finland Oy),yes
337,Fierce,Discraft,Putter,19,3,4,-2,0,Very Understable,https://www.marshallstreetdiscgolf.com/product/fierce-paige-pierce-5x,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000007.webp,fierce,discraft,putter,very-understable,#FF3737,#000000,175.1,21.1,1.9,1.5,19,1,7.1,63.5,10.45,,,,20-08,"Jan 30, 2020",A_name_brand,high,Fierce,Discraft,"Jan 30, 2020",20-08,,21.1,1.9,1.5,19.0,1.0,7.1,175.1,,10.45,63.50,,Discraft,no
338,Fighter,Legacy,Control Driver,16,10,3,0,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=fighter&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3763477.webp,fighter,legacy,hybrid-driver,very-overstable,#3831F0,#E43DD9,,,,,,,,,,,,,,,B_name_unique,medium,Fighter,Legacy Discs,"Jun 6, 2016",16-53,,21.2,1.7,1.2,17.1,2.0,5.7,176.0,,11.34,27.75,,Legacy Discs,yes
339,Fireball,Axiom Discs,Fairway Driver,17,9,3.5,0,3.5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=fireball&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3763400.webp,fireball,axiom-discs,control-driver,very-overstable,#000000,#FF9595,175.1,21.1,1.4,1.1,17.1,2,5.2,29.5,9.07,,,,14-94,"Dec 19, 2014",A_name_brand,high,Fireball,Axiom Discs,"Dec 19, 2014",14-94,,21.1,1.4,1.1,17.1,2.0,5.2,175.1,,9.07,29.50,,Axiom Discs,no
340,Firebird,Innova,Fairway Driver,17,9,3,0,4,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=firebird&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/3763432.webp,firebird,innova,control-driver,very-overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Firebird,Innova Champion Discs,"Mar 21, 2000",00-06,,21.1,1.4,1.2,17.3,1.9,5.7,175.1,,9.75,26.75,,Innova Champion Discs,no
341,Firefly,Innova,Putter,19,2,3,0,1,Overstable,https://www.marshallstreetdiscgolf.com/?s=firefly&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010304.webp,firefly,innova,putter,overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Firefly,Innova Champion Discs,"Jan 22, 2019",19-02,,21.1,2.1,1.5,19.1,1.0,7.1,175.1,,12.02,71.00,,Innova Champion Discs,no
342,Firestorm,Innova,Distance Driver,15,14,4,-1,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=firestorm&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5634740.webp,firestorm,innova,distance-driver,overstable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Firestorm,Innova Champion Discs,"Mar 23, 2017",17-33,,21.1,1.5,1.1,16.5,2.3,5.2,175.1,,10.77,27.50,,Innova Champion Discs,no
343,Flare,Streamline,Fairway Driver,17,9,4,0,3.5,Very Overstable,https://www.marshallstreetdiscgolf.com/?cat_ids%5B%5D=20674&post_type=product&s=flare&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/1010125.webp,flare,streamline,control-driver,very-overstable,#012219,#ACFFBA,,,,,,,,,,,,,,,A_name_brand,high,Flare,Streamline Discs,"Feb 24, 2019",19-21,,21.2,1.8,1.2,17.2,2.0,5.7,176.0,,11.59,29.50,,Streamline Discs,no
344,Flash,Discraft,Control Driver,16,10,5,-2,3,Understable,https://www.marshallstreetdiscgolf.com/?s=flash&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/4045219.webp,flash,discraft,hybrid-driver,understable,#FF3737,#000000,175.1,21.1,1.6,1.2,17,2.1,5.7,27.5,8.85,,,,04-03,"Apr 14, 2004",A_name_brand,high,Flash,Discraft,"Apr 14, 2004",04-03,,21.1,1.6,1.2,17.0,2.1,5.7,175.1,,8.85,27.50,,Discraft,no
345,Flat Earth,Doomsday Discs,Midrange,18,5,5,-1,1,Stable,,,flat-earth,doomsday-discs,midrange,stable,#B6FF8B,#144E48,180.9,21.8,2.1,1.3,19.4,1.2,6,48,5.8,,,,22-66,"Apr 25, 2022",A_name_brand,high,Flat Earth,Doomsday Discs,"Apr 25, 2022",22-66,,21.8,2.1,1.3,19.4,1.2,6.0,180.9,,5.80,48.00,,Doomsday Discs,no
346,Flick,Discraft,Distance Driver,15,12,3,1,5,Very Overstable,https://www.marshallstreetdiscgolf.com/?s=flick&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/5107778.webp,flick,discraft,distance-driver,very-overstable,#FF3737,#000000,175.1,21.1,1.3,1.1,16.9,2.1,5.2,26,9.98,,,,04-10,"Aug 22, 2004",A_name_brand,high,Flick,Discraft,"Aug 22, 2004",04-10,,21.1,1.3,1.1,16.9,2.1,5.2,175.1,,9.98,26.00,,Discraft,no
347,Flip,Hooligan Discs,Midrange,18,5,6,-4,1,Very Understable,https://www.marshallstreetdiscgolf.com/?cat_ids%5B%5D=81609&post_type=product&s=flip&variation_toggle=1,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000336.webp,flip,hooligan-discs,midrange,very-understable,#01216C,#DAFDFF,180.1,21.7,1.9,1.3,19.1,1.3,6,45.25,6.93,,,,22-177,"Oct 17, 2022",A_name_brand,high,Flip,Hooligan Discs,"Oct 17, 2022",22-177,,21.7,1.9,1.3,19.1,1.3,6.0,180.1,,6.93,45.25,,Hooligan Discs,no
348,Flipperi,Prodiscus,Fairway Driver,17,9,3,-3,0,Very Understable,https://www.marshallstreetdiscgolf.com/?s=flipperi&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000000.webp,flipperi,prodiscus,control-driver,very-understable,#32E65C,#5435A9,,,,,,,,,,,,,,,A_name_brand,high,FLIPPERi,Prodiscus,"Dec 19, 2016",16-82,,21.2,1.7,1.2,17.2,2.0,5.7,176.0,,10.77,26.00,,Prodiscus,no
349,Flow,Latitude 64,Control Driver,16,11,6,-0.5,2,Overstable,https://www.marshallstreetdiscgolf.com/?s=flow&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2005314.webp,flow,latitude-64,hybrid-driver,overstable,#FFFFFF,#F40909,175.1,21.1,1.8,1.2,16.8,2.2,5.7,27.75,11.11,,,,10-35,"Oct 27, 2010",A_name_brand,high,Flow,Latitude 64,"Oct 27, 2010",10-35,,21.1,1.8,1.2,16.8,2.2,5.7,175.1,,11.11,27.75,,Latitude 64,no
350,Flying Squirrel,Other,Midrange,18,5,5,-3,2,Understable,https://www.marshallstreetdiscgolf.com/?s=flying+squirrel&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/7580389.webp,flying-squirrel,other,midrange,understable,#000000,#E5FFAA,,,,,,,,,,,,,,,C_name_ambiguous,needs_review,,,,,,,,,,,,,,,,,,
351,Focus,Discraft,Putter,19,2,2,-1,2,Stable,https://www.marshallstreetdiscgolf.com/?s=focus&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/6155774.webp,focus,discraft,putter,stable,#FF3737,#000000,,,,,,,,,,,,,,,A_name_brand,high,Focus (Ace Race 2009),Discraft,"Sep 9, 2009",09-20,,21.1,2.1,1.6,19.1,1.0,7.6,175.1,,8.85,60.25,,Discraft,no
352,Force,Discraft,Distance Driver,15,12,5,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=force&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0207283.webp,force,discraft,distance-driver,overstable,#FF3737,#000000,175.1,21.1,1.7,1.2,16.5,2.3,5.7,26,11.79,,,,08-08,"Feb 21, 2008",A_name_brand,high,Force,Discraft,"Feb 21, 2008",08-08,,21.1,1.7,1.2,16.5,2.3,5.7,175.1,,11.79,26.00,,Discraft,no
353,Fortress,Westside Discs,Control Driver,16,10,4,0,3,Overstable,https://www.marshallstreetdiscgolf.com/?s=fortress&post_type=product,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/2012013.webp,fortress,westside-discs,hybrid-driver,overstable,#FFFFFF,#014E13,,,,,,,,,,,,,,,B_name_unique,medium,Fortress (Linnoitus1),Westside Golf Discs,"Mar 23, 2017",17-35,,21.2,1.5,1.1,17.2,2.0,5.2,176.0,,9.64,28.00,,Westside Golf Discs,yes
354,Fossil,Discraft,Approach Discs,20,3,1,0,3,Overstable,,,fossil,discraft,approach-discs,overstable,#FF3737,#000000,,,,,,,,,,,,,,,A_name_brand,high,Fossil (RW-1025-P),Discraft,"Oct 6, 2025",25-151,,21.0,1.9,1.4,18.5,1.3,6.7,174.3,,12.05,65.50,,Discraft,no
355,Founder,Discmania,Midrange,18,5,6,-4,1,Very Understable,,,founder,discmania,midrange,very-understable,#FFA813,#9A0C0C,180.9,21.8,1.8,1.1,19.1,1.3,5,37.5,6.48,,,,25-124,"Jul 28, 2025",A_name_brand,high,Founder,Discmania,"Jul 28, 2025",25-124,,21.8,1.8,1.1,19.1,1.3,5.0,180.9,,6.48,37.50,,Discmania,no
356,Fox,Innova,Midrange,18,5,6,-2,1,Understable,,,fox,innova,midrange,understable,#2A290E,#F3EB09,,,,,,,,,,,,,,,A_name_brand,high,Fox,Innova Champion Discs,"Jul 21, 2025",25-121,,21.8,1.5,1.1,18.8,1.5,5.0,180.9,,8.30,48.00,,Innova Champion Discs,no
357,Freetail,Mint Discs,Fairway Driver,17,10,5,-4,1,Understable,https://www.marshallstreetdiscgolf.com/product/eternal-freetail,https://s3.amazonaws.com/media.marshallstreetdiscgolf.com/inbounds/0000017.webp,freetail,mint-discs,control-driver,understable,#FFFFFF,#F4933E,175.1,21.1,1.7,1.2,17.1,2,5.7,37.75,11.25,,,,19-63,"Sep 16, 2019",A_name_brand,high,Freetail,Mint Discs,"Sep 16, 2019",19-63,,21.1,1.7,1.2,17.1,2.0,5.7,175.1,,11.25,37.75,,Mint Discs,no
